,HHID,P_ID,P_AGE,AgeRange,AgeGroup,P_GENDER,HH_num,HH_ISO,IATA_O,GenderHOH,AgeHOH,SizeHH,HHType,FirstName,DOB,Lang,Surname,Address,FreeEmail,WorkEmail,DOCS_ExpiryDate,PaymentInfo_VendorCode,PaymentInfo_ExpiryDate,PaymentInfo_AccountNbr,PostCode,Country
0,POI_0,POI_0_1,36,35-39,AGE8,M,0,IRL,DUB,M,36,2,T2,Niall,1985-07-12,ga_IE,Ó Lainn,"11971 Mac Thámhais Passage
Ingridton, AK 53359",graceo-fuada@hotmail.com,o-cuirreainangeline@o.com,2024-09-18,VISA 16 digit,2022-03-29,4461680422278849,17045,Republic of Ireland
1,POI_0,POI_0_2,15,15-19,AGE4,M,0,IRL,DUB,M,36,2,T2,Laurence,2006-06-23,ga_IE,Ó Lainn,"11971 Mac Thámhais Passage
Ingridton, AK 53359",o-madagainrita@gmail.com,-,2023-12-12,-,-,-,17045,Republic of Ireland
2,POI_1,POI_1_1,13,10-14,AGE3,M,1,DEU,MUC,M,13,1,T1,Lawrence,2008-10-15,de_DE,Zirme,"Irmtraud-Dietz-Allee 0
50901 Wetzlar",qmac-aonghais@yahoo.com,-,2022-03-16,-,-,-,30274,Germany
3,POI_2,POI_2_1,29,25-29,AGE6,F,2,ROU,OTP,F,29,2,T2,Maighread,1992-04-20,ro_RO,Tudor,"Intrarea Ghenadie Manole
Anina, 245855",o-goillidheronan@gmail.com,leigh04@o.com,2024-04-26,Diners Club / Carte Blanche,2025-04-16,379876002339931,904976,Romania
4,POI_2,POI_2_2,12,10-14,AGE3,M,2,ROU,OTP,F,29,2,T2,Keith,2009-12-11,ro_RO,Tudor,"Intrarea Ghenadie Manole
Anina, 245855",o-conghamhnasuzanne@hotmail.com,-,2024-05-10,-,-,-,904976,Romania
5,POI_3,POI_3_1,46,45-49,AGE10,M,3,SWE,ARN,M,46,2,T2,George,1975-04-18,sv_SE,Eriksson,"Idrottsvägen 422
28628 Sundsvall",o-flanagainthaddeus@gmail.com,fo-crotaigh@o.com,2022-09-13,VISA 16 digit,2025-01-01,4877664956346,54847,Sweden
6,POI_3,POI_3_2,7,5-9,AGE2,M,3,SWE,ARN,M,46,2,T2,Carl,2014-07-29,sv_SE,Eriksson,"Idrottsvägen 422
28628 Sundsvall",-,-,2022-10-02,-,-,-,54847,Sweden
7,POI_4,POI_4_1,9,5-9,AGE2,F,4,LVA,RIX,F,9,1,T1,Pearl,2012-05-26,,Arroyo,"0769 Brown Mall
Ericmouth, SC 51648",-,-,2022-01-10,-,-,-,24248,United States
8,POI_5,POI_5_1,51,50-54,AGE11,M,5,CHE,ZRH,M,51,2,T2,Clinton,1970-11-05,fr_CH,Pasquier,"rue Nusslé
4674 Chatriand-sur-Pachoud",mac-robhartaighelena@hotmail.com,flannandoghair@mac.com,2023-02-19,VISA 19 digit,2025-01-28,3532683328094796,5788,Switzerland
9,POI_5,POI_5_2,10,10-14,AGE3,M,5,CHE,ZRH,M,51,2,T2,Allan,2011-06-02,fr_CH,Pasquier,"rue Nusslé
4674 Chatriand-sur-Pachoud",o-laoidermott@hotmail.com,-,2024-03-13,-,-,-,5788,Switzerland
10,POI_6,POI_6_1,36,35-39,AGE8,F,6,BEL,BRU,F,36,2,T2,Isabel,1985-03-27,nl_BE,Burke,"Tammybaan 7
3658
Huldenberg",fmac-giolla-easboig@gmail.com,wayneo-raifteiri@mac.net,2024-05-26,Diners Club / Carte Blanche,2026-12-10,4662397853402,6450,Belgium
11,POI_6,POI_6_2,6,5-9,AGE2,M,6,BEL,BRU,F,36,2,T2,Killian,2015-06-04,nl_BE,Burke,"Tammybaan 7
3658
Huldenberg",-,-,2023-02-05,-,-,-,6450,Belgium
12,POI_7,POI_7_1,47,45-49,AGE10,M,7,SVK,BTS,M,47,2,T2,Leigh,1974-11-11,sk_SK,Harmon,"Žitná 90
010 21 Orovnica",basilo-meadog@hotmail.com,omac-thighearnaigh@o.com,2022-12-24,Maestro,2026-03-08,4807462340508752,946 93,Slovakia
13,POI_7,POI_7_2,5,5-9,AGE2,M,7,SVK,BTS,M,47,2,T2,Cian,2016-06-17,sk_SK,Harmon,"Žitná 90
010 21 Orovnica",-,-,2025-01-22,-,-,-,946 93,Slovakia
14,POI_8,POI_8_1,32,30-34,AGE7,M,8,HRV,ZAG,M,32,2,T2,Laurence,1989-06-04,hr_HR,Modrić,"Ilica 1b/8
80925 Novska",ro-cumhail@gmail.com,hugh86@de.com,2022-09-21,JCB 16 digit,2022-07-27,4416724460528974,89437,Croatia
15,POI_8,POI_8_2,10,10-14,AGE3,M,8,HRV,ZAG,M,32,2,T2,Alphonsus,2011-07-18,hr_HR,Modrić,"Ilica 1b/8
80925 Novska",wayneo-connmhaigh@gmail.com,-,2025-05-31,-,-,-,89437,Croatia
16,POI_9,POI_9_1,9,5-9,AGE2,M,9,ROU,OTP,M,9,1,T1,Jarleth,2012-08-20,ro_RO,Mazilescu,"Aleea Olimpia Toma
Sovata, 255504",-,-,2023-06-08,-,-,-,586889,Romania
